"Time","使用的文件描述符","每秒上下文切换次数"
2026-06-12 21:56:15,5280,13400
2026-06-12 21:57:30,5000,12787
2026-06-12 21:58:45,5040,14534
2026-06-12 22:00:00,5040,12892
2026-06-12 22:01:15,5000,12717
2026-06-12 22:02:30,5040,13126
2026-06-12 22:03:45,5040,13712
2026-06-12 22:05:00,4920,13934
2026-06-12 22:06:15,5000,13372
2026-06-12 22:07:30,5000,13119
2026-06-12 22:08:45,5000,13911
2026-06-12 22:10:00,5000,12475
2026-06-12 22:11:15,4920,12731
2026-06-12 22:12:30,4880,13808
2026-06-12 22:13:45,5120,13303
2026-06-12 22:15:00,5000,14133
2026-06-12 22:16:15,5040,18780
2026-06-12 22:17:30,4920,13030
2026-06-12 22:18:45,4960,13631
2026-06-12 22:20:00,4960,13692
2026-06-12 22:21:15,5000,12408
2026-06-12 22:22:30,4880,13599
2026-06-12 22:23:45,4880,13599
2026-06-12 22:25:00,4880,13599
2026-06-12 22:26:15,4880,13599
2026-06-12 22:27:30,5280,16167
2026-06-12 22:28:45,5200,14512
2026-06-12 22:30:00,5200,15434
2026-06-12 22:31:15,5160,13265
2026-06-12 22:32:30,5280,14184
2026-06-12 22:33:45,5200,14217
2026-06-12 22:35:00,5120,14340
2026-06-12 22:36:15,5160,13515
2026-06-12 22:37:30,5080,16261
2026-06-12 22:38:45,5000,13899
2026-06-12 22:40:00,5000,12180
2026-06-12 22:41:15,4960,13260
2026-06-12 22:42:30,4960,15116
2026-06-12 22:43:45,5040,12707
2026-06-12 22:45:00,5040,14310
2026-06-12 22:46:15,4960,11827
2026-06-12 22:47:30,4960,13318
2026-06-12 22:48:45,5000,14134
2026-06-12 22:50:00,4960,13562
2026-06-12 22:51:15,5040,12140
2026-06-12 22:52:30,4920,14969
2026-06-12 22:53:45,4920,11804
2026-06-12 22:55:00,4960,13562
2026-06-12 22:56:15,5000,14103

