"Time","系统使用率","用户使用率","磁盘IO使用率","总使用率"
2026-06-12 21:57:15,0.470,0.723,0.0900,1.63
2026-06-12 21:57:30,0.474,0.738,0.0720,11.6
2026-06-12 21:57:45,0.573,0.900,0.0967,1.91
2026-06-12 21:58:00,0.561,0.981,0.0776,12.5
2026-06-12 21:58:15,0.433,0.760,0.0900,1.63
2026-06-12 21:58:30,0.525,0.814,0.0865,12.3
2026-06-12 21:58:45,0.570,1.15,0.0833,2.13
2026-06-12 21:59:00,0.516,0.805,0.0686,12.3
2026-06-12 21:59:15,0.513,0.857,0.0867,1.73
2026-06-12 21:59:30,0.607,0.990,0.0748,12.3
2026-06-12 21:59:45,0.523,0.747,0.0867,1.82
2026-06-12 22:00:00,0.487,0.840,0.0777,12.0
2026-06-12 22:00:15,0.513,0.687,0.0800,1.53
2026-06-12 22:00:30,0.491,0.849,0.0834,12.4
2026-06-12 22:00:45,0.483,0.663,0.0733,1.54
2026-06-12 22:01:00,0.696,0.755,0.0803,12.6
2026-06-12 22:01:15,0.430,0.713,0.0800,1.53
2026-06-12 22:01:30,0.577,0.868,0.0829,6.13
2026-06-12 22:01:45,0.577,0.868,0.0829,6.13
2026-06-12 22:02:00,0.424,0.632,0.0712,12.4
2026-06-12 22:02:15,0.508,0.771,0.0857,6.40
2026-06-12 22:02:30,0.410,0.670,0.0867,1.46
2026-06-12 22:02:45,0.544,0.837,0.0739,12.9
2026-06-12 22:03:00,0.467,0.680,0.0800,1.48
2026-06-12 22:03:15,0.512,0.930,0.0867,12.0
2026-06-12 22:03:30,0.580,0.967,0.113,2.05
2026-06-12 22:03:45,0.570,0.908,0.0687,12.3
2026-06-12 22:04:00,0.657,0.787,0.0767,2.11
2026-06-12 22:04:15,0.547,0.851,0.0717,12.4
2026-06-12 22:04:30,0.733,1.15,0.0833,2.60
2026-06-12 22:04:45,0.539,0.831,0.0685,12.4
2026-06-12 22:05:00,0.490,0.683,0.0900,1.64
2026-06-12 22:05:15,0.487,0.672,0.0716,11.9
2026-06-12 22:05:30,0.600,1.02,0.0900,1.93
2026-06-12 22:05:45,0.492,0.680,0.0686,11.9
2026-06-12 22:06:00,0.453,0.690,0.0867,1.53
2026-06-12 22:06:15,0.453,0.690,0.0867,1.53
