"Time","sda_读取","sdb_读取","sdc_读取","sdd_读取","sde_读取","sdf_读取","sda_写入","sdb_写入","sdc_写入","sdd_写入","sde_写入","sdf_写入"
2026-06-12 21:57:15,0,0,0,0,0,0,0,0,0,0,15.9,0
2026-06-12 21:57:30,0,0,0,0,0,0,0,0,0,0,12.5,0.660
2026-06-12 21:57:45,0,0,0,0,0,0,0,0,0,0,16.6,0
2026-06-12 21:58:00,0,0,0,0,0,0,0,0,0,0,15.9,0.955
2026-06-12 21:58:15,0,0,0,0,0,0,0,0,0,0,17.9,0
2026-06-12 21:58:30,0,0,0,0,0,0,0,0,0,0,15.3,0.119
2026-06-12 21:58:45,0,0,0,0,0,0,0,0,0,0,15.1,0
2026-06-12 21:59:00,0,0,0,0,0,0,0,0,0,0,13.8,1.01
2026-06-12 21:59:15,0,0,0,0,0,0,0,0,0,0,15.0,0.133
2026-06-12 21:59:30,0,0,0,0,0,0,0,0,0,0,14.4,0.598
2026-06-12 21:59:45,0,0,0,0,0,0,0,0,0,0,14.8,0.400
2026-06-12 22:00:00,0,0,0,0,0,0,0,0,0,0,14.8,0.718
2026-06-12 22:00:15,0,0,0,0,0,0,0,0,0,0,14.5,0
2026-06-12 22:00:30,0,0,0,0,0,0,0,0,0,0,15.8,0.179
2026-06-12 22:00:45,0,0,0,0,0,0,0,0,0,0,14.2,0
2026-06-12 22:01:00,0,0,0,0,0,0,0,0,0,0,13.7,1.55
2026-06-12 22:01:15,0,0,0,0,0,0,0,0,0,0,12.7,0
2026-06-12 22:01:30,0,0,0,0,0,0,0,0,0,0,14.2,0.574
2026-06-12 22:01:45,0,0,0,0,0,0,0,0,0,0,14.2,0.574
2026-06-12 22:02:00,0,0,0,0,0,0,0,0,0,0,13.1,0.119
2026-06-12 22:02:15,0,0,0,0,0,0,0,0,0,0,15.1,1.08
2026-06-12 22:02:30,0,0,0,0,0,0,0,0,0,0,14.1,0.933
2026-06-12 22:02:45,0,0,0,0,0.0591,0,0,0,0,0,13.8,0.118
2026-06-12 22:03:00,0,0,0,0,0,0,0,0,0,0,14.7,0
2026-06-12 22:03:15,0,0,0,0,0,0,0,0,0,0,16.6,0.838
2026-06-12 22:03:30,0,0,0,0,0,0,0,0,0,0,20.4,0
2026-06-12 22:03:45,0,0,0,0,0,0,0,0,0,0,13.7,0.657
2026-06-12 22:04:00,0,0,0,0,0,0,0,0,0,0,17.3,0
2026-06-12 22:04:15,0,0,0,0,0,0,0,0,0,0,12.2,0.776
2026-06-12 22:04:30,0,0,0,0,0,0,0,0,0,0,15.7,0
2026-06-12 22:04:45,0,0,0,0,0,0,0,0,0,0,12.7,0.119
2026-06-12 22:05:00,0,0,0,0,0,0,0,0,0,0,16,0
2026-06-12 22:05:15,0,0,0,0,0,0,0,0,0,0,13.0,0.836
2026-06-12 22:05:30,0,0,0,0,0,0,0,0,0,0,15.3,0
2026-06-12 22:05:45,0,0,0,0,0,0,0,0,0,0,12.8,0.656
2026-06-12 22:06:00,0,0,0,0,0,0,0,0,0,0,15.9,0
2026-06-12 22:06:15,0,0,0,0,0,0,0,0,0,0,15.9,0
2026-06-12 22:06:30,0,0,0,0,0,0,0,0,0,0,13.2,0.656
2026-06-12 22:06:45,0,0,0,0,0,0,0,0,0,0,16.4,0
2026-06-12 22:07:00,0,0,0,0,0,0,0,0,0,0,12.6,0.298
2026-06-12 22:07:15,0,0,0,0,0,0,0,0,0,0,16,0
2026-06-12 22:07:30,0,0,0,0,0,0,0,0,0,0,13.8,0.658
2026-06-12 22:07:45,0,0,0,0,0,0,0,0,0,0,14.7,0
2026-06-12 22:08:00,0,0,0,0,0,0,0,0,0,0,13.2,0.834
2026-06-12 22:08:15,0,0,0,0,0,0,0,0,0,0,14.9,0
