"Time","sda_每秒I/O操作%","sdb_每秒I/O操作%","sdc_每秒I/O操作%","sdd_每秒I/O操作%","sde_每秒I/O操作%","sdf_每秒I/O操作%"
2026-06-12 21:57:15,0,0,0,0,0.0179,0
2026-06-12 21:57:30,0,0,0,0,0.0142,0
2026-06-12 21:57:45,0,0,0,0,0.0187,0
2026-06-12 21:58:00,0,0,0,0,0.0157,0
2026-06-12 21:58:15,0,0,0,0,0.0195,0
2026-06-12 21:58:30,0,0,0,0,0.0169,0
2026-06-12 21:58:45,0,0,0,0,0.0171,0
2026-06-12 21:59:00,0,0,0,0,0.0150,0
2026-06-12 21:59:15,0,0,0,0,0.0184,0
2026-06-12 21:59:30,0,0,0,0,0.0141,0
2026-06-12 21:59:45,0,0,0,0,0.0147,0
2026-06-12 22:00:00,0,0,0,0,0.0167,0.000239
2026-06-12 22:00:15,0,0,0,0,0.0184,0
2026-06-12 22:00:30,0,0,0,0,0.0155,0
2026-06-12 22:00:45,0,0,0,0,0.0141,0
2026-06-12 22:01:00,0,0,0,0,0.0152,0.000238
2026-06-12 22:01:15,0,0,0,0,0.0152,0
2026-06-12 22:01:30,0,0,0,0,0.0179,0
2026-06-12 22:01:45,0,0,0,0,0.0179,0
2026-06-12 22:02:00,0,0,0,0,0.0157,0
2026-06-12 22:02:15,0,0,0,0,0.0170,0
2026-06-12 22:02:30,0,0,0,0,0.0171,0
2026-06-12 22:02:45,0,0,0,0,0.0147,0
2026-06-12 22:03:00,0,0,0,0,0.0157,0
2026-06-12 22:03:15,0,0,0,0,0.0179,0
2026-06-12 22:03:30,0,0,0,0,0.0221,0
2026-06-12 22:03:45,0,0,0,0,0.0136,0
2026-06-12 22:04:00,0,0,0,0,0.0160,0
2026-06-12 22:04:15,0,0,0,0,0.0139,0.00215
2026-06-12 22:04:30,0,0,0,0,0.0219,0
2026-06-12 22:04:45,0,0,0,0,0.0136,0
2026-06-12 22:05:00,0,0,0,0,0.0189,0
2026-06-12 22:05:15,0,0,0,0,0.0153,0
2026-06-12 22:05:30,0,0,0,0,0.0155,0
2026-06-12 22:05:45,0,0,0,0,0.0138,0
2026-06-12 22:06:00,0,0,0,0,0.0179,0
2026-06-12 22:06:15,0,0,0,0,0.0179,0
2026-06-12 22:06:30,0,0,0,0,0.0143,0.000238
2026-06-12 22:06:45,0,0,0,0,0.0168,0
2026-06-12 22:07:00,0,0,0,0,0.0146,0
2026-06-12 22:07:15,0,0,0,0,0.0189,0
2026-06-12 22:07:30,0,0,0,0,0.0151,0
2026-06-12 22:07:45,0,0,0,0,0.0155,0
2026-06-12 22:08:00,0,0,0,0,0.0157,0
2026-06-12 22:08:15,0,0,0,0,0.0339,0
2026-06-12 22:08:30,0,0,0,0,0.0174,0
2026-06-12 22:08:45,0,0,0,0,0.0192,0
2026-06-12 22:09:00,0,0,0,0,0.0163,0
2026-06-12 22:09:15,0,0,0,0,0.0184,0
2026-06-12 22:09:30,0,0,0,0,0.0155,0
2026-06-12 22:09:45,0,0,0,0,0.0173,0
2026-06-12 22:10:00,0,0,0,0,0.0157,0
2026-06-12 22:10:15,0,0,0,0,0.0205,0
2026-06-12 22:10:30,0,0,0,0,0.0205,0
2026-06-12 22:10:45,0,0,0,0,0.0143,0
2026-06-12 22:11:00,0,0,0,0,0.0171,0
2026-06-12 22:11:15,0,0,0,0,0.0143,0
2026-06-12 22:11:30,0,0,0,0,0.0144,0
2026-06-12 22:11:45,0,0,0,0,0.0180,0
2026-06-12 22:12:00,0,0,0,0,0.0137,0
2026-06-12 22:12:15,0,0,0,0,0.0157,0
2026-06-12 22:12:30,0,0,0,0,0.0176,0
2026-06-12 22:12:45,0,0,0,0,0.0168,0
2026-06-12 22:13:00,0,0,0,0,0.0149,0
2026-06-12 22:13:15,0,0,0,0,0.0174,0
2026-06-12 22:13:30,0,0,0,0,0.0205,0
2026-06-12 22:13:45,0,0,0,0,0.0169,0
2026-06-12 22:14:00,0,0,0,0,0.0213,0
2026-06-12 22:14:15,0,0,0,0,0.0157,0
2026-06-12 22:14:30,0,0,0,0,0.0157,0
2026-06-12 22:14:45,0,0,0,0,0.0133,0
2026-06-12 22:15:00,0,0,0,0,0.0168,0
2026-06-12 22:15:15,0,0,0,0,0.0168,0
2026-06-12 22:15:30,0,0,0,0,0.0153,0.00119
2026-06-12 22:15:45,0,0,0,0,0.0141,0
2026-06-12 22:16:00,0,0,0,0,0.0129,0
2026-06-12 22:16:15,0,0,0,0,0.0181,0
2026-06-12 22:16:30,0,0,0,0,0.0127,0
2026-06-12 22:16:45,0,0,0,0,0.0109,0
2026-06-12 22:17:00,0,0,0,0,0.0130,0
2026-06-12 22:17:15,0,0,0,0,0.0176,0
2026-06-12 22:17:30,0,0,0,0,0.0145,0
2026-06-12 22:17:45,0,0,0,0,0.0165,0
2026-06-12 22:18:00,0,0,0,0,0.0168,0
2026-06-12 22:18:15,0,0,0,0,0.0157,0
2026-06-12 22:18:30,0,0,0,0,0.0143,0
2026-06-12 22:18:45,0,0,0,0,0.0149,0
2026-06-12 22:19:00,0,0,0,0,0.0192,0
2026-06-12 22:19:15,0,0,0,0,0.0197,0
2026-06-12 22:19:30,0,0,0,0,0.0197,0
2026-06-12 22:19:45,0,0,0,0,0.0170,0
2026-06-12 22:20:00,0,0,0,0,0.0155,0
2026-06-12 22:20:15,0,0,0,0,0.0150,0
2026-06-12 22:20:30,0,0,0,0,0.0165,0
2026-06-12 22:20:45,0,0,0,0,0.0160,0
2026-06-12 22:21:00,0,0,0,0,0.0197,0
2026-06-12 22:21:15,0,0,0,0,0.0145,0
2026-06-12 22:21:30,0,0,0,0,0.0176,0
2026-06-12 22:21:45,0,0,0,0,0.0147,0
2026-06-12 22:22:00,0,0,0,0,0.0589,0
2026-06-12 22:22:15,0,0,0,0,0.0589,0
2026-06-12 22:22:30,0,0,0,0,0.0589,0
2026-06-12 22:22:45,0,0,0,0,0.0589,0
2026-06-12 22:23:00,0,0,0,0,0.0589,0
2026-06-12 22:23:15,0,0,0,0,0.0589,0
2026-06-12 22:23:30,0,0,0,0,0.0589,0
2026-06-12 22:23:45,0,0,0,0,0.0589,0
2026-06-12 22:24:00,0,0,0,0,0.0589,0
2026-06-12 22:24:15,0,0,0,0,0.0589,0
2026-06-12 22:24:30,0,0,0,0,0.0589,0
2026-06-12 22:24:45,0,0,0,0,0.0589,0
2026-06-12 22:25:00,0,0,0,0,0.0589,0
2026-06-12 22:25:15,0,0,0,0,0.0589,0
2026-06-12 22:25:30,0,0,0,0,0.0589,0
2026-06-12 22:25:45,0,0,0,0,0.0589,0
2026-06-12 22:26:00,0,0,0,0,0.0589,0
2026-06-12 22:26:15,0,0,0,0,0.0589,0
