"Time","总内存","已用","可用","192.168.49.2:9100_已用(total-cache-buf-free)","使用率"
2026-06-12 21:30:00,,,,,42.3
2026-06-12 21:57:15,8129785856,3550187520,4579598336,7262576640,
2026-06-12 21:57:30,8129785856,3556937728,4572848128,7255543808,
2026-06-12 21:57:45,8129785856,3565170688,4564615168,7247237120,
2026-06-12 21:58:00,8129785856,3583119360,4546666496,7227445248,
2026-06-12 21:58:15,8129785856,3582840832,4546945024,7226945536,
2026-06-12 21:58:30,8129785856,3587637248,4542148608,7221633024,
2026-06-12 21:58:45,8129785856,3589816320,4539969536,7219200000,
2026-06-12 21:59:00,8129785856,3592249344,4537536512,7214514176,
2026-06-12 21:59:15,8129785856,3596832768,4532953088,7209299968,
2026-06-12 21:59:30,8129785856,3607625728,4522160128,7197859840,
2026-06-12 21:59:45,8129785856,3606274048,4523511808,7199178752,
2026-06-12 22:00:00,8129785856,3608731648,4521054208,7194443776,44.4
2026-06-12 22:00:15,8129785856,3609698304,4520087552,7184371712,
2026-06-12 22:00:30,8129785856,3612413952,4517371904,7155294208,
2026-06-12 22:00:45,8129785856,3604426752,4525359104,7163109376,
2026-06-12 22:01:00,8129785856,3600986112,4528799744,7164776448,
2026-06-12 22:01:15,8129785856,3590660096,4539125760,7174533120,
2026-06-12 22:01:30,8129785856,3584598016,4545187840,7179653120,
2026-06-12 22:01:45,8129785856,3584598016,4545187840,7179653120,
2026-06-12 22:02:00,8129785856,3549487104,4580298752,7214473216,
2026-06-12 22:02:15,8129785856,3530047488,4599738368,7232327680,
2026-06-12 22:02:30,8129785856,3535155200,4594630656,7226650624,
2026-06-12 22:02:45,8129785856,3532484608,4597301248,7228268544,
2026-06-12 22:03:00,8129785856,3540840448,4588945408,7219814400,
2026-06-12 22:03:15,8129785856,3598151680,4531634176,7160520704,
2026-06-12 22:03:30,8129785856,3612864512,4516921344,7144923136,
2026-06-12 22:03:45,8129785856,3609481216,4520304640,7147642880,
2026-06-12 22:04:00,8129785856,3625336832,4504449024,7131549696,
2026-06-12 22:04:15,8129785856,3620982784,4508803072,7134294016,
2026-06-12 22:04:30,8129785856,3604590592,4525195264,7150108672,
2026-06-12 22:04:45,8129785856,3593023488,4536762368,7160614912,
2026-06-12 22:05:00,8129785856,3604398080,4525387776,7149187072,
2026-06-12 22:05:15,8129785856,3602202624,4527583232,7149568000,
2026-06-12 22:05:30,8129785856,3545313280,4584472576,7205670912,
2026-06-12 22:05:45,8129785856,3538096128,4591689728,7211933696,
2026-06-12 22:06:00,8129785856,3540455424,4589330432,7209480192,
2026-06-12 22:06:15,8129785856,3540455424,4589330432,7209480192,
2026-06-12 22:06:30,8129785856,3536510976,4593274880,7211716608,
2026-06-12 22:06:45,8129785856,3538087936,4591697920,7209304064,
2026-06-12 22:07:00,8129785856,3531636736,4598149120,7214809088,
2026-06-12 22:07:15,8129785856,3532136448,4597649408,7214358528,
2026-06-12 22:07:30,8129785856,3531427840,4598358016,7214854144,
2026-06-12 22:07:45,8129785856,3541225472,4588560384,7202516992,
2026-06-12 22:08:00,8129785856,3531595776,4598190080,7211241472,
2026-06-12 22:08:15,8129785856,3538948096,4590837760,7203397632,
2026-06-12 22:08:30,8129785856,3604344832,4525441024,7137132544,
2026-06-12 22:08:45,8129785856,3597144064,4532641792,7143088128,
2026-06-12 22:09:00,8129785856,3597258752,4532527104,7142727680,
2026-06-12 22:09:15,8129785856,3597230080,4532555776,7141036032,
2026-06-12 22:09:30,8129785856,3601567744,4528218112,7135899648,
2026-06-12 22:09:45,8129785856,3602886656,4526899200,7134191616,
2026-06-12 22:10:00,8129785856,3600814080,4528971776,7136321536,
2026-06-12 22:10:15,8129785856,3621531648,4508254208,7113277440,
2026-06-12 22:10:30,8129785856,3621531648,4508254208,7113277440,
2026-06-12 22:10:45,8129785856,3538067456,4591718400,7195910144,
2026-06-12 22:11:00,8129785856,3542347776,4587438080,7191175168,
2026-06-12 22:11:15,8129785856,3540275200,4589510656,7193362432,
2026-06-12 22:11:30,8129785856,3550523392,4579262464,7180906496,
2026-06-12 22:11:45,8129785856,3544657920,4585127936,7185981440,
