"Time","eth0_in下载","eth0_out上传"
2026-06-12 21:57:15,18187,3478
2026-06-12 21:57:30,13496,2003
2026-06-12 21:57:45,2218,1183
2026-06-12 21:58:00,556,241
2026-06-12 21:58:15,766,564
2026-06-12 21:58:30,54479,58913
2026-06-12 21:58:45,3547,946
2026-06-12 21:59:00,775,441
2026-06-12 21:59:15,5724,1427
2026-06-12 21:59:30,14178,3917
2026-06-12 21:59:45,76374,63824
2026-06-12 22:00:00,679,365
2026-06-12 22:00:15,656,269
2026-06-12 22:00:30,649,272
2026-06-12 22:00:45,726,269
2026-06-12 22:01:00,522,240
2026-06-12 22:01:15,828,394
2026-06-12 22:01:30,560,257
2026-06-12 22:01:45,560,257
2026-06-12 22:02:00,552,239
2026-06-12 22:02:15,658,256
2026-06-12 22:02:30,550,317
2026-06-12 22:02:45,582,270
2026-06-12 22:03:00,863,358
2026-06-12 22:03:15,589,241
2026-06-12 22:03:30,39135,39295
2026-06-12 22:03:45,43542,42097
2026-06-12 22:04:00,762,317
2026-06-12 22:04:15,525,241
2026-06-12 22:04:30,898,358
2026-06-12 22:04:45,4811,1703
2026-06-12 22:05:00,586,269
2026-06-12 22:05:15,619,241
2026-06-12 22:05:30,621,269
2026-06-12 22:05:45,556,241
2026-06-12 22:06:00,828,394
2026-06-12 22:06:15,828,394
2026-06-12 22:06:30,523,240
2026-06-12 22:06:45,621,317
2026-06-12 22:07:00,524,241
2026-06-12 22:07:15,656,269
2026-06-12 22:07:30,806,322
2026-06-12 22:07:45,691,269
2026-06-12 22:08:00,523,240
2026-06-12 22:08:15,621,304
2026-06-12 22:08:30,554,283
2026-06-12 22:08:45,1421,612
2026-06-12 22:09:00,5234,1643
2026-06-12 22:09:15,726,269
2026-06-12 22:09:30,649,303
2026-06-12 22:09:45,621,352
2026-06-12 22:10:00,646,313
2026-06-12 22:10:15,58077,50548
2026-06-12 22:10:30,58077,50548
2026-06-12 22:10:45,522,239
2026-06-12 22:11:00,691,269
2026-06-12 22:11:15,626,257
2026-06-12 22:11:30,551,239
2026-06-12 22:11:45,555,271
2026-06-12 22:12:00,825,359
2026-06-12 22:12:15,625,256
2026-06-12 22:12:30,691,269
2026-06-12 22:12:45,552,239
2026-06-12 22:13:00,77029,58953
2026-06-12 22:13:15,71842,77518
2026-06-12 22:13:30,52873,48124
2026-06-12 22:13:45,524,240
2026-06-12 22:14:00,656,269
2026-06-12 22:14:15,28083,14771
2026-06-12 22:14:30,22213,32492
2026-06-12 22:14:45,674,319
2026-06-12 22:15:00,550,317
2026-06-12 22:15:15,550,317
2026-06-12 22:15:30,525,284
2026-06-12 22:15:45,656,269
2026-06-12 22:16:00,524,240
2026-06-12 22:16:15,208258,151151
2026-06-12 22:16:30,872,397
2026-06-12 22:16:45,656,269
2026-06-12 22:17:00,612,238
2026-06-12 22:17:15,656,269
2026-06-12 22:17:30,555,240
2026-06-12 22:17:45,793,358
2026-06-12 22:18:00,463,241
2026-06-12 22:18:15,656,317
2026-06-12 22:18:30,554,240
2026-06-12 22:18:45,691,269
2026-06-12 22:19:00,584,313
2026-06-12 22:19:15,3684,1473
2026-06-12 22:19:30,3684,1473
2026-06-12 22:19:45,3786,733
2026-06-12 22:20:00,621,304
2026-06-12 22:20:15,524,272
2026-06-12 22:20:30,902,435
2026-06-12 22:20:45,460,240
2026-06-12 22:21:00,828,358
2026-06-12 22:21:15,492,240
2026-06-12 22:21:30,515,269
2026-06-12 22:21:45,658,256
2026-06-12 22:22:00,1850,801
2026-06-12 22:22:15,1850,801
2026-06-12 22:22:30,1850,801
2026-06-12 22:22:45,1850,801
2026-06-12 22:23:00,1850,801
2026-06-12 22:23:15,1850,801
2026-06-12 22:23:30,1850,801
2026-06-12 22:23:45,1850,801
2026-06-12 22:24:00,1850,801
2026-06-12 22:24:15,1850,801
2026-06-12 22:24:30,1850,801
2026-06-12 22:24:45,1850,801
2026-06-12 22:25:00,1850,801
2026-06-12 22:25:15,1850,801
2026-06-12 22:25:30,1850,801
2026-06-12 22:25:45,1850,801
2026-06-12 22:26:00,1850,801
2026-06-12 22:26:15,1850,801
2026-06-12 22:26:30,1850,801
2026-06-12 22:26:45,8865,5012
2026-06-12 22:27:00,3293,1360
2026-06-12 22:27:15,686,299
2026-06-12 22:27:30,726,365
2026-06-12 22:27:45,112657,61116
2026-06-12 22:28:00,191825,93084
2026-06-12 22:28:15,578,237
2026-06-12 22:28:30,31320,8254
2026-06-12 22:28:45,111473,40357
2026-06-12 22:29:00,208169,72011
2026-06-12 22:29:15,126543,41676
2026-06-12 22:29:30,171681,61785
2026-06-12 22:29:45,171681,61785
2026-06-12 22:30:00,49693,20382
2026-06-12 22:30:15,55243,19712
2026-06-12 22:30:30,92938,32481
2026-06-12 22:30:45,6981,5700
2026-06-12 22:31:00,49787,17812
2026-06-12 22:31:15,3127,2177
2026-06-12 22:31:30,649,252
2026-06-12 22:31:45,4367,35382
2026-06-12 22:32:00,48252,18544
2026-06-12 22:32:15,2724,2260
2026-06-12 22:32:30,650,286
2026-06-12 22:32:45,588,284
2026-06-12 22:33:00,50140,18613
2026-06-12 22:33:15,726,317
2026-06-12 22:33:30,47120,17175
2026-06-12 22:33:45,863,358
2026-06-12 22:34:00,863,358
2026-06-12 22:34:15,643,238
2026-06-12 22:34:30,3593,1432
2026-06-12 22:34:45,2790,713
2026-06-12 22:35:00,691,304
2026-06-12 22:35:15,2370,1981
2026-06-12 22:35:30,57492,43562
2026-06-12 22:35:45,5343,40105
2026-06-12 22:36:00,7066,190401
2026-06-12 22:36:15,5629,81545
2026-06-12 22:36:30,14317,81272
2026-06-12 22:36:45,865,351
2026-06-12 22:37:00,691,365
2026-06-12 22:37:15,584,282
2026-06-12 22:37:30,2482,2157
2026-06-12 22:37:45,80185,304294
2026-06-12 22:38:00,8943,6601
2026-06-12 22:38:15,8943,6601
2026-06-12 22:38:30,585,240
2026-06-12 22:38:45,621,304
2026-06-12 22:39:00,2218,2044
2026-06-12 22:39:15,11932,71902
2026-06-12 22:39:30,10701,13635
2026-06-12 22:39:45,95547,118543
2026-06-12 22:40:00,584,239
2026-06-12 22:40:15,621,269
2026-06-12 22:40:30,7219,19578
2026-06-12 22:40:45,7279,40886
2026-06-12 22:41:00,736,319
2026-06-12 22:41:15,691,269
2026-06-12 22:41:30,648,271
2026-06-12 22:41:45,621,317
2026-06-12 22:42:00,554,240
2026-06-12 22:42:15,656,269
2026-06-12 22:42:30,656,269
2026-06-12 22:42:45,734,361
2026-06-12 22:43:00,621,269
2026-06-12 22:43:15,95196,92366
2026-06-12 22:43:30,586,269
2026-06-12 22:43:45,486,237
2026-06-12 22:44:00,898,358
2026-06-12 22:44:15,672,249
2026-06-12 22:44:30,586,269
2026-06-12 22:44:45,544,235
2026-06-12 22:45:00,3989,1355
2026-06-12 22:45:15,2857,735
2026-06-12 22:45:30,656,269
2026-06-12 22:45:45,614,301
2026-06-12 22:46:00,867,470
2026-06-12 22:46:15,583,239
2026-06-12 22:46:30,933,394
2026-06-12 22:46:45,933,394
2026-06-12 22:47:00,583,239
2026-06-12 22:47:15,550,269
2026-06-12 22:47:30,648,283
2026-06-12 22:47:45,621,269
2026-06-12 22:48:00,890,414
2026-06-12 22:48:15,48679,46433
2026-06-12 22:48:30,554,240
2026-06-12 22:48:45,691,269
2026-06-12 22:49:00,580,238
2026-06-12 22:49:15,656,269
2026-06-12 22:49:30,801,320
2026-06-12 22:49:45,621,269
2026-06-12 22:50:00,519,238
2026-06-12 22:50:15,586,269
2026-06-12 22:50:30,647,271
2026-06-12 22:50:45,621,269
2026-06-12 22:51:00,621,269
2026-06-12 22:51:15,738,320
2026-06-12 22:51:30,726,269
2026-06-12 22:51:45,552,239
2026-06-12 22:52:00,621,269
2026-06-12 22:52:15,554,240
2026-06-12 22:52:30,757,358
2026-06-12 22:52:45,612,281
2026-06-12 22:53:00,621,317
2026-06-12 22:53:15,1432,758
2026-06-12 22:53:30,656,365
2026-06-12 22:53:45,641,318
2026-06-12 22:54:00,57055,50300
2026-06-12 22:54:15,582,238
2026-06-12 22:54:30,726,304
2026-06-12 22:54:45,553,240
2026-06-12 22:55:00,656,269
2026-06-12 22:55:15,656,269
2026-06-12 22:55:30,736,319
2026-06-12 22:55:45,3396,1348
2026-06-12 22:56:00,2713,624
2026-06-12 22:56:15,621,269
2026-06-12 22:56:30,43970,41239
2026-06-12 22:56:45,1157,656
2026-06-12 22:57:00,584,239
2026-06-12 22:57:15,586,269

