"Time","CurrEstab","TCP_tw","Sockets_used","UDP_inuse","TCP_alloc","Tcp_InSegs","Tcp_OutSegs","Tcp_RetransSegs"
2026-06-12 21:30:00,,,641,,,,,
2026-06-12 21:57:15,233,167,,1,440,329,348,0
2026-06-12 21:57:30,233,166,,1,436,271,287,0
2026-06-12 21:57:45,233,161,,1,436,298,318,0
2026-06-12 21:58:00,233,156,,1,436,257,272,0
2026-06-12 21:58:15,230,153,,1,431,284,300,0
2026-06-12 21:58:30,230,161,,1,437,311,330,0
2026-06-12 21:58:45,230,163,,1,437,288,310,0
2026-06-12 21:59:00,230,162,,1,436,241,255,0
2026-06-12 21:59:15,230,164,,1,434,343,365,0
2026-06-12 21:59:30,230,159,,1,434,291,318,0
2026-06-12 21:59:45,230,161,,1,434,373,387,0
2026-06-12 22:00:00,230,168,641,1,434,251,267,0
2026-06-12 22:00:15,230,169,,1,434,284,302,0
2026-06-12 22:00:30,230,169,,1,434,255,271,0
2026-06-12 22:00:45,230,169,,1,434,284,301,0
2026-06-12 22:01:00,230,161,,1,434,261,275,0
2026-06-12 22:01:15,230,154,,1,430,292,309,0
2026-06-12 22:01:30,230,159,,1,430,270,286,0
2026-06-12 22:01:45,230,159,,1,430,270,286,0
2026-06-12 22:02:00,230,155,,1,430,248,263,0
2026-06-12 22:02:15,230,154,,1,430,263,279,0
2026-06-12 22:02:30,230,160,,1,430,290,307,0
2026-06-12 22:02:45,230,161,,1,430,251,266,0
2026-06-12 22:03:00,230,150,,1,430,291,307,0
2026-06-12 22:03:15,230,160,,1,430,254,271,0
2026-06-12 22:03:30,230,166,,1,432,337,352,0
2026-06-12 22:03:45,230,163,,1,432,292,306,0
2026-06-12 22:04:00,230,170,,1,432,291,308,0
2026-06-12 22:04:15,230,175,,1,432,249,264,0.0597
2026-06-12 22:04:30,230,164,,1,432,300,317,0
2026-06-12 22:04:45,230,167,,1,426,257,272,0
2026-06-12 22:05:00,230,170,,1,426,289,306,0
2026-06-12 22:05:15,230,158,,1,426,248,264,0
2026-06-12 22:05:30,230,161,,1,426,324,341,0
2026-06-12 22:05:45,230,165,,1,426,248,264,0
2026-06-12 22:06:00,230,159,,1,426,306,322,0
2026-06-12 22:06:15,230,159,,1,426,306,322,0
2026-06-12 22:06:30,230,173,,1,422,249,265,0
2026-06-12 22:06:45,230,164,,1,422,289,305,0
2026-06-12 22:07:00,230,162,,1,422,245,260,0
2026-06-12 22:07:15,230,168,,1,422,303,322,0
2026-06-12 22:07:30,230,164,,1,422,257,272,0
2026-06-12 22:07:45,230,163,,1,422,287,304,0
2026-06-12 22:08:00,230,161,,1,422,259,275,0
2026-06-12 22:08:15,230,158,,1,422,281,298,0
2026-06-12 22:08:30,230,158,,1,422,262,279,0
2026-06-12 22:08:45,230,155,,1,423,289,306,0
2026-06-12 22:09:00,230,155,,1,422,257,272,0
2026-06-12 22:09:15,230,149,,1,422,289,306,0
2026-06-12 22:09:30,230,154,,1,422,250,266,0
2026-06-12 22:09:45,230,159,,1,421,290,307,0
2026-06-12 22:10:00,230,162,,1,420,251,266,0
2026-06-12 22:10:15,230,163,,1,426,376,387,0
2026-06-12 22:10:30,230,163,,1,426,376,387,0
2026-06-12 22:10:45,230,165,,1,426,250,265,0
2026-06-12 22:11:00,230,162,,1,426,282,299,0
2026-06-12 22:11:15,230,165,,1,426,313,329,0
2026-06-12 22:11:30,230,162,,1,426,258,273,0
2026-06-12 22:11:45,230,161,,1,426,276,293,0
2026-06-12 22:12:00,230,158,,1,422,245,261,0
2026-06-12 22:12:15,230,162,,1,422,268,285,0
2026-06-12 22:12:30,230,167,,1,422,297,313,0
2026-06-12 22:12:45,230,166,,1,422,249,265,0
2026-06-12 22:13:00,230,165,,1,426,370,383,0
2026-06-12 22:13:15,230,168,,1,426,332,345,0
2026-06-12 22:13:30,230,159,,1,426,346,360,0
2026-06-12 22:13:45,230,163,,1,426,255,271,0
2026-06-12 22:14:00,230,158,,1,426,288,306,0
2026-06-12 22:14:15,230,156,,1,430,278,291,0
2026-06-12 22:14:30,230,161,,1,426,341,357,0
2026-06-12 22:14:45,230,163,,1,426,250,265,0
2026-06-12 22:15:00,230,162,,1,426,292,309,0
2026-06-12 22:15:15,230,162,,1,426,292,309,0
2026-06-12 22:15:30,230,163,,1,426,244,260,0
2026-06-12 22:15:45,230,159,,1,426,284,301,0
2026-06-12 22:16:00,230,156,,1,426,253,268,0
2026-06-12 22:16:15,230,157,,1,426,505,511,0
2026-06-12 22:16:30,230,158,,1,426,254,269,0
2026-06-12 22:16:45,230,157,,1,426,294,311,0
2026-06-12 22:17:00,230,159,,1,426,253,268,0
2026-06-12 22:17:15,230,160,,1,426,293,310,0
2026-06-12 22:17:30,230,155,,1,426,247,262,0
2026-06-12 22:17:45,230,153,,1,422,284,300,0
2026-06-12 22:18:00,230,160,,1,422,261,277,0
2026-06-12 22:18:15,230,160,,1,422,289,306,0
2026-06-12 22:18:30,230,162,,1,422,254,269,0
2026-06-12 22:18:45,230,167,,1,422,328,345,0
2026-06-12 22:19:00,230,160,,1,422,261,276,0
2026-06-12 22:19:15,230,159,,1,424,283,300,0
2026-06-12 22:19:30,230,159,,1,424,283,300,0
2026-06-12 22:19:45,230,164,,1,424,256,271,0
2026-06-12 22:20:00,230,152,,1,424,292,309,0
2026-06-12 22:20:15,230,155,,1,424,249,265,0
2026-06-12 22:20:30,230,155,,1,422,288,305,0
2026-06-12 22:20:45,230,157,,1,422,256,271,0
2026-06-12 22:21:00,230,157,,1,422,293,310,0
2026-06-12 22:21:15,230,161,,1,422,245,260,0
2026-06-12 22:21:30,230,160,,1,422,289,307,0
2026-06-12 22:21:45,230,157,,1,422,263,279,0
2026-06-12 22:22:00,230,164,,1,412,260,275,0
2026-06-12 22:22:15,230,164,,1,412,260,275,0
2026-06-12 22:22:30,230,164,,1,412,260,275,0
2026-06-12 22:22:45,230,164,,1,412,260,275,0
2026-06-12 22:23:00,230,164,,1,412,260,275,0
2026-06-12 22:23:15,230,164,,1,412,260,275,0
2026-06-12 22:23:30,230,164,,1,412,260,275,0
2026-06-12 22:23:45,230,164,,1,412,260,275,0
2026-06-12 22:24:00,230,164,,1,412,260,275,0
2026-06-12 22:24:15,230,164,,1,412,260,275,0
2026-06-12 22:24:30,230,164,,1,412,260,275,0
2026-06-12 22:24:45,230,164,,1,412,260,275,0
2026-06-12 22:25:00,230,164,,1,412,260,275,0
2026-06-12 22:25:15,230,164,,1,412,260,275,0
2026-06-12 22:25:30,230,164,,1,412,260,275,0
2026-06-12 22:25:45,230,164,,1,412,260,275,0
2026-06-12 22:26:00,230,164,,1,412,260,275,0
2026-06-12 22:26:15,230,164,,1,412,260,275,0
2026-06-12 22:26:30,230,164,,1,412,260,275,0
2026-06-12 22:26:45,232,169,,1,432,27.0,27.5,0
2026-06-12 22:27:00,237,172,,1,442,316,338,0.0592
2026-06-12 22:27:15,237,175,,1,436,301,312,0.441
2026-06-12 22:27:30,238,172,,1,438,358,373,0.400
2026-06-12 22:27:45,237,180,,1,442,397,400,0.530
2026-06-12 22:28:00,233,180,,1,436,557,559,0.800
2026-06-12 22:28:15,233,186,,1,432,269,280,0.470
2026-06-12 22:28:30,230,188,,1,432,366,378,0.467
2026-06-12 22:28:45,230,181,,1,431,379,382,0.295
2026-06-12 22:29:00,230,182,,1,430,523,520,0.533
2026-06-12 22:29:15,230,174,,1,433,395,397,0.417
2026-06-12 22:29:30,230,174,,1,427,504,505,0.667
2026-06-12 22:29:45,230,174,,1,427,504,505,0.667
2026-06-12 22:30:00,231,176,642,1,429,337,346,0.417
2026-06-12 22:30:15,230,171,,1,428,379,391,0.467
2026-06-12 22:30:30,230,171,,1,424,390,396,0.356
2026-06-12 22:30:45,230,171,,1,431,363,381,0.333
2026-06-12 22:31:00,230,167,,1,430,330,339,0.377
2026-06-12 22:31:15,231,166,,1,432,265,278,0.239
2026-06-12 22:31:30,231,170,,1,432,272,286,0.313
2026-06-12 22:31:45,231,161,,1,432,293,309,0.600
2026-06-12 22:32:00,232,169,,1,434,307,315,0.236
2026-06-12 22:32:15,231,175,,1,432,293,307,0.267
2026-06-12 22:32:30,232,176,,1,434,268,281,0.188
2026-06-12 22:32:45,231,179,,1,432,263,276,0.179
2026-06-12 22:33:00,231,178,,1,432,329,339,0.316
2026-06-12 22:33:15,231,171,,1,432,305,320,0.467
2026-06-12 22:33:30,231,166,,1,433,301,308,0.237
2026-06-12 22:33:45,231,166,,1,432,284,297,0.333
2026-06-12 22:34:00,231,166,,1,432,284,297,0.333
2026-06-12 22:34:15,231,160,,1,432,262,273,0.177
2026-06-12 22:34:30,231,159,,1,434,296,310,0.467
2026-06-12 22:34:45,231,170,,1,434,272,287,0.178
2026-06-12 22:35:00,231,169,,1,434,308,322,0.533
2026-06-12 22:35:15,231,175,,1,431,250,261,0.353
2026-06-12 22:35:30,231,171,,1,432,363,373,0.467
2026-06-12 22:35:45,231,170,,1,433,254,269,0.177
2026-06-12 22:36:00,231,165,,1,432,316,344,0.333
2026-06-12 22:36:15,231,167,,1,432,266,284,0.419
2026-06-12 22:36:30,231,172,,1,433,325,344,0.0667
2026-06-12 22:36:45,231,165,,1,432,279,293,0.595
2026-06-12 22:37:00,231,164,,1,433,296,311,0.200
2026-06-12 22:37:15,231,167,,1,432,259,271,0.356
2026-06-12 22:37:30,234,162,,1,438,325,350,0.133
2026-06-12 22:37:45,234,165,,1,438,353,388,0
2026-06-12 22:38:00,234,164,,1,438,305,321,0
2026-06-12 22:38:15,234,164,,1,438,305,321,0
2026-06-12 22:38:30,234,165,,1,438,291,307,0
2026-06-12 22:38:45,234,162,,1,438,296,314,0
2026-06-12 22:39:00,233,170,,1,436,272,288,0
2026-06-12 22:39:15,230,166,,1,430,278,298,0
2026-06-12 22:39:30,230,164,,1,430,274,289,0.0628
2026-06-12 22:39:45,230,172,,1,430,401,418,0
2026-06-12 22:40:00,230,165,,1,430,251,267,0
2026-06-12 22:40:15,230,170,,1,430,281,298,0.133
2026-06-12 22:40:30,230,171,,1,430,261,278,0
2026-06-12 22:40:45,230,163,,1,430,308,328,0
2026-06-12 22:41:00,230,170,,1,430,250,265,0
2026-06-12 22:41:15,230,172,,1,430,283,300,0
2026-06-12 22:41:30,230,166,,1,430,253,268,0
2026-06-12 22:41:45,230,167,,1,430,290,307,0
2026-06-12 22:42:00,230,166,,1,430,241,256,0
2026-06-12 22:42:15,230,161,,1,426,278,295,0
2026-06-12 22:42:30,230,161,,1,426,278,295,0
2026-06-12 22:42:45,230,171,,1,426,254,268,0
2026-06-12 22:43:00,230,175,,1,426,297,314,0
2026-06-12 22:43:15,230,180,,1,430,353,365,0
2026-06-12 22:43:30,230,175,,1,430,291,308,0
2026-06-12 22:43:45,230,176,,1,430,245,260,0
2026-06-12 22:44:00,230,172,,1,430,301,318,0
2026-06-12 22:44:15,230,170,,1,430,303,318,0.123
