"Time","1分钟负载","5分钟负载","15分钟负载","CPU总核数"
2026-06-12 21:57:15,2.17,3.14,1.91,20
2026-06-12 21:57:30,1.69,2.98,1.88,20
2026-06-12 21:57:45,1.39,2.85,1.86,20
2026-06-12 21:58:00,1.16,2.73,1.83,20
2026-06-12 21:58:15,1.14,2.64,1.82,20
2026-06-12 21:58:30,1.30,2.61,1.82,20
2026-06-12 21:58:45,1.01,2.48,1.79,20
2026-06-12 21:59:00,1.09,2.43,1.78,20
2026-06-12 21:59:15,0.850,2.31,1.75,20
2026-06-12 21:59:30,0.660,2.19,1.73,20
2026-06-12 21:59:45,0.510,2.09,1.70,20
2026-06-12 22:00:00,0.400,1.98,1.67,20
2026-06-12 22:00:15,0.460,1.92,1.65,20
2026-06-12 22:00:30,0.360,1.82,1.63,20
2026-06-12 22:00:45,0.350,1.75,1.60,20
2026-06-12 22:01:00,0.270,1.66,1.58,20
2026-06-12 22:01:15,0.210,1.58,1.55,20
2026-06-12 22:01:30,0.230,1.52,1.53,20
2026-06-12 22:01:45,0.230,1.52,1.53,20
2026-06-12 22:02:00,0.180,1.44,1.51,20
2026-06-12 22:02:15,0.140,1.37,1.48,20
2026-06-12 22:02:30,0.110,1.30,1.46,20
2026-06-12 22:02:45,0.0800,1.24,1.43,20
2026-06-12 22:03:00,0.0600,1.18,1.41,20
2026-06-12 22:03:15,0.0500,1.12,1.39,20
2026-06-12 22:03:30,0.440,1.16,1.40,20
2026-06-12 22:03:45,0.420,1.12,1.38,20
2026-06-12 22:04:00,0.330,1.06,1.35,20
2026-06-12 22:04:15,0.250,1.01,1.33,20
2026-06-12 22:04:30,0.200,0.960,1.31,20
2026-06-12 22:04:45,0.150,0.910,1.29,20
2026-06-12 22:05:00,0.280,0.900,1.28,20
2026-06-12 22:05:15,0.220,0.860,1.26,20
2026-06-12 22:05:30,0.240,0.830,1.24,20
2026-06-12 22:05:45,0.320,0.820,1.23,20
2026-06-12 22:06:00,0.250,0.780,1.21,20
2026-06-12 22:06:15,0.250,0.780,1.21,20
2026-06-12 22:06:30,0.200,0.740,1.19,20
2026-06-12 22:06:45,0.150,0.700,1.17,20
2026-06-12 22:07:00,0.190,0.690,1.16,20
2026-06-12 22:07:15,0.150,0.650,1.14,20
2026-06-12 22:07:30,0.110,0.620,1.12,20
2026-06-12 22:07:45,1.59,0.940,1.22,20
2026-06-12 22:08:00,1.31,0.910,1.20,20
2026-06-12 22:08:15,1.02,0.870,1.18,20
2026-06-12 22:08:30,0.870,0.840,1.17,20
2026-06-12 22:08:45,0.830,0.830,1.16,20
2026-06-12 22:09:00,0.640,0.790,1.14,20
2026-06-12 22:09:15,0.580,0.770,1.13,20
2026-06-12 22:09:30,0.520,0.750,1.11,20
2026-06-12 22:09:45,0.410,0.710,1.09,20
2026-06-12 22:10:00,0.630,0.740,1.10,20
2026-06-12 22:10:15,0.640,0.740,1.09,20
2026-06-12 22:10:30,0.640,0.740,1.09,20
2026-06-12 22:10:45,0.490,0.700,1.07,20
2026-06-12 22:11:00,0.460,0.680,1.06,20
2026-06-12 22:11:15,0.360,0.650,1.04,20
2026-06-12 22:11:30,0.360,0.630,1.03,20
2026-06-12 22:11:45,0.280,0.600,1.01,20
2026-06-12 22:12:00,0.220,0.570,1,20
2026-06-12 22:12:15,0.240,0.560,0.990,20
2026-06-12 22:12:30,0.190,0.530,0.970,20
2026-06-12 22:12:45,0.230,0.520,0.960,20
2026-06-12 22:13:00,0.180,0.490,0.940,20
2026-06-12 22:13:15,0.140,0.470,0.930,20
2026-06-12 22:13:30,0.110,0.450,0.910,20
2026-06-12 22:13:45,0.160,0.440,0.900,20
2026-06-12 22:14:00,0.120,0.420,0.890,20
2026-06-12 22:14:15,0.0900,0.400,0.870,20
2026-06-12 22:14:30,0.0700,0.380,0.860,20
2026-06-12 22:14:45,0.0600,0.360,0.840,20
2026-06-12 22:15:00,0.120,0.360,0.830,20
2026-06-12 22:15:15,0.120,0.360,0.830,20
2026-06-12 22:15:30,0.0900,0.340,0.820,20
2026-06-12 22:15:45,0.570,0.430,0.840,20
2026-06-12 22:16:00,0.600,0.450,0.840,20
2026-06-12 22:16:15,0.620,0.460,0.840,20
2026-06-12 22:16:30,0.480,0.430,0.820,20
2026-06-12 22:16:45,0.370,0.410,0.810,20
2026-06-12 22:17:00,0.360,0.410,0.800,20
2026-06-12 22:17:15,0.280,0.390,0.790,20
2026-06-12 22:17:30,0.220,0.370,0.780,20
2026-06-12 22:17:45,0.170,0.350,0.760,20
2026-06-12 22:18:00,0.130,0.330,0.750,20
2026-06-12 22:18:15,0.170,0.330,0.740,20
2026-06-12 22:18:30,0.200,0.330,0.730,20
2026-06-12 22:18:45,0.230,0.330,0.730,20
2026-06-12 22:19:00,0.320,0.350,0.730,20
2026-06-12 22:19:15,0.250,0.330,0.710,20
2026-06-12 22:19:30,0.250,0.330,0.710,20
2026-06-12 22:19:45,0.200,0.310,0.700,20
2026-06-12 22:20:00,0.230,0.310,0.700,20
2026-06-12 22:20:15,0.250,0.310,0.690,20
2026-06-12 22:20:30,0.270,0.310,0.690,20
2026-06-12 22:20:45,0.290,0.320,0.680,20
2026-06-12 22:21:00,2.38,0.750,0.810,20
2026-06-12 22:21:15,1.92,0.730,0.810,20
2026-06-12 22:21:30,1.50,0.690,0.790,20
2026-06-12 22:21:45,1.16,0.660,0.780,20
