window,timestamp_sec,avg_latency_ms,median_latency_ms,max_latency_ms,min_latency_ms,p90_latency_ms,p99_latency_ms,throughput_req_per_sec,avg_connect_ms,avg_bytes,avg_sent_bytes,avg_threads,all_threads,error_rate,label,phase
0,1.9625499963760376,24.2,19.5,94,7,34.500000000000064,90.38999999999997,6.666666666666667,1.15,11153.85,241.1,2.85,2.85,0.0,0,normal
1,4.86988890171051,37.166666666666664,21.0,193,6,72.0,190.89999999999998,12.0,0.08333333333333333,11231.138888888889,259.6388888888889,5.638888888888889,5.638888888888889,0.0,0,normal
2,7.519621213277181,20.12121212121212,15.0,78,5,43.0,75.39999999999998,22.0,0.015151515151515152,11207.257575757576,262.8030303030303,8.348484848484848,8.348484848484848,0.0,0,normal
3,10.534898751898657,23.050632911392405,15.0,183,5,36.60000000000001,148.67999999999995,26.333333333333332,0.0379746835443038,11200.253164556962,269.3544303797468,11.405063291139241,11.405063291139241,0.0,0,normal
4,13.592540011405944,65.7,29.5,281,5,169.0,262.1900000000001,33.333333333333336,0.02,11018.25,270.52,14.53,14.53,0.0,0,normal
5,16.60965468043046,40.02158273381295,17.0,199,5,119.2,195.20000000000005,46.333333333333336,0.007194244604316547,11203.870503597122,271.62589928057554,17.496402877697843,17.496402877697843,0.0,0,normal
6,19.528253536828807,50.36619718309859,17.0,293,5,136.90000000000006,287.95000000000005,47.333333333333336,0.014084507042253521,11240.06338028169,268.1478873239437,19.823943661971832,19.823943661971832,0.0,0,normal
7,22.39733774930436,78.30463576158941,17.0,508,5,296.0,441.0,50.333333333333336,0.0,11162.23178807947,273.2582781456954,20.0,20.0,0.0,0,normal
8,25.11810204204248,422.1938775510204,25.0,2907,4,2278.4,2820.67,32.666666666666664,0.0,11584.010204081633,300.8775510204082,20.0,20.0,0.0,0,normal
9,29.056354557384143,91.27272727272727,57.0,902,6,215.0,659.9599999999988,36.666666666666664,0.0,11021.8,248.70909090909092,20.0,20.0,0.0,0,normal
10,31.628923626409637,86.33333333333333,16.0,958,5,102.0,919.8199999999998,48.0,0.0,11099.569444444445,279.6111111111111,20.0,20.0,0.0,0,normal
11,34.64101695206206,113.84745762711864,74.5,729,6,225.0,704.03,39.333333333333336,0.0,11326.694915254237,269.2457627118644,20.0,20.0,0.0,0,normal
12,37.36505756961356,68.97122302158273,22.0,458,4,184.60000000000002,411.0000000000002,46.333333333333336,0.0,11192.345323741007,271.3093525179856,20.0,20.0,0.0,0,normal
13,40.31426119092685,276.910447761194,16.0,1752,4,1475.7,1684.02,44.666666666666664,0.0,11172.89552238806,273.5223880597015,20.0,20.0,0.0,0,normal
14,43.954358221879644,290.5074626865672,71.0,981,5,749.8,940.7400000000002,22.333333333333332,0.0,11543.611940298508,279.4179104477612,20.0,20.0,0.0,0,normal
15,46.53162252508252,64.80794701986756,15.0,548,5,182.0,499.5,50.333333333333336,0.0,11287.867549668874,272.49668874172187,20.0,20.0,0.0,0,normal
16,49.56754967076889,24.211920529801326,14.0,188,4,57.0,127.0,50.333333333333336,0.0,11065.112582781458,276.6754966887417,20.0,20.0,0.0,0,normal
17,52.3966854829942,124.51612903225806,17.0,891,4,557.1,741.6699999999997,41.333333333333336,0.0,11126.766129032258,272.491935483871,20.0,20.0,0.0,0,normal
18,55.47080405660578,43.513513513513516,20.0,169,5,98.60000000000002,162.53,49.333333333333336,0.0,11272.20945945946,271.5135135135135,20.0,20.0,0.0,0,normal
19,58.60860510996193,30.61783439490446,15.0,195,5,97.00000000000003,165.0,52.333333333333336,0.0,11231.452229299362,279.43949044585986,20.0,20.0,0.0,0,normal
20,61.398690479142324,141.96031746031747,66.5,900,5,517.0,807.0,42.0,0.031746031746031744,11337.79365079365,263.86507936507934,20.0,20.0,0.0,0,normal
21,64.56029167440202,51.041666666666664,29.0,198,5,106.0,187.83999999999992,48.0,0.027777777777777776,11163.013888888889,275.0138888888889,20.0,20.0,0.0,0,normal
22,67.53392949165442,36.26923076923077,18.0,173,4,90.5,142.6499999999998,52.0,0.019230769230769232,11148.647435897436,275.12179487179486,20.0,20.0,0.0,0,normal
23,70.42856251001358,42.38125,20.0,166,4,105.1,162.41,53.333333333333336,0.01875,11280.1625,273.20625,20.0,20.0,0.0,0,normal
24,73.50140145399274,62.160583941605836,28.0,361,5,136.4,357.91999999999996,45.666666666666664,0.0072992700729927005,11152.299270072992,272.3211678832117,20.0,20.0,0.0,0,normal
25,76.42341861798782,133.51162790697674,72.0,837,5,377.6000000000001,652.2799999999997,43.0,0.023255813953488372,10949.232558139534,268.37984496124034,20.0,20.0,0.0,0,normal
26,79.30880953341114,37.435374149659864,16.0,383,5,83.80000000000001,263.31999999999954,49.0,0.013605442176870748,11445.047619047618,275.421768707483,20.0,20.0,0.0,0,normal
27,82.32390625327825,49.25625,28.5,307,5,108.1,212.23,53.333333333333336,0.0,11241.51875,279.9875,20.0,20.0,0.0,0,normal
28,85.26035455356944,305.2181818181818,99.5,1247,6,1091.3000000000004,1237.11,36.666666666666664,0.0,11013.354545454546,273.8090909090909,20.0,20.0,0.0,0,normal
29,88.70521582630899,67.05035971223022,55.0,207,6,145.40000000000003,205.86,46.333333333333336,0.0,11273.539568345324,271.0503597122302,20.0,20.0,0.0,0,normal
30,91.58565574005002,141.27868852459017,19.5,1052,5,536.6000000000001,988.0899999999995,40.666666666666664,0.0,11396.852459016394,265.6639344262295,20.0,20.0,0.0,0,normal
31,94.45336690394998,79.07194244604317,64.0,322,5,172.2,235.0,46.333333333333336,0.0,11092.294964028777,276.80575539568343,20.0,20.0,0.0,0,normal
32,97.51364666779835,127.18,51.0,948,5,481.99999999999983,904.4799999999996,50.0,0.0,11267.98,275.54,20.0,20.0,0.0,0,normal
33,100.7296696539436,70.3125,14.0,653,5,199.40000000000015,603.3000000000001,37.333333333333336,0.0,10976.910714285714,276.2232142857143,20.0,20.0,0.0,0,normal
34,103.5812694755143,43.1497005988024,20.0,210,5,97.0,205.68,55.666666666666664,0.0,11385.053892215568,273.05389221556885,20.0,20.0,0.0,0,normal
35,106.63024343314923,29.25,15.0,174,5,66.80000000000001,162.37000000000012,50.666666666666664,0.0,11174.427631578947,275.32894736842104,20.0,20.0,0.0,0,normal
36,109.37598438933492,101.203125,15.0,798,5,422.0,760.1200000000001,42.666666666666664,0.0,11144.625,266.5234375,20.0,20.0,0.0,0,normal
37,112.47877849053732,31.037974683544302,13.0,228,4,88.40000000000009,205.8800000000001,52.666666666666664,0.0,11161.348101265823,281.34177215189874,20.0,20.0,0.0,0,normal
38,115.53196429184504,29.771428571428572,14.0,249,4,69.20000000000002,177.0,46.666666666666664,0.0,11362.471428571429,267.7,20.0,20.0,0.0,0,normal
39,118.4181724104388,38.2,15.0,276,5,91.19999999999996,266.8,48.333333333333336,0.0,11195.972413793104,275.7655172413793,20.0,20.0,0.0,0,normal
40,121.4759430462801,22.658227848101266,13.0,141,4,54.10000000000008,104.43,52.666666666666664,0.03164556962025317,11089.025316455696,269.3481012658228,20.0,20.0,0.0,0,normal
41,124.4133907438114,50.36423841059602,32.0,190,5,112.0,187.0,50.333333333333336,0.046357615894039736,11211.51655629139,276.20529801324506,20.0,20.0,0.0,0,normal
42,127.48349295871358,32.640845070422536,16.0,167,5,88.60000000000002,165.18,47.333333333333336,0.014084507042253521,11207.605633802817,274.30281690140845,20.0,20.0,0.0,0,normal
43,130.47229628945576,60.89506172839506,41.5,232,5,154.50000000000003,218.0,54.0,0.037037037037037035,11354.493827160493,277.141975308642,20.0,20.0,0.0,0,normal
44,133.4168828241527,156.796875,24.0,1010,5,553.4,969.7800000000003,42.666666666666664,0.0546875,11311.09375,272.0,20.0,20.0,0.0,0,normal
45,136.656714289529,54.91428571428571,20.0,312,4,164.80000000000007,266.3999999999994,46.666666666666664,0.02857142857142857,11176.07142857143,269.82142857142856,20.0,20.0,0.0,0,normal
46,139.36575352473997,92.40845070422536,43.0,438,5,237.60000000000008,401.90000000000003,47.333333333333336,0.02112676056338028,11067.06338028169,274.65492957746477,20.0,20.0,0.0,0,normal
47,142.64116668934915,267.1764705882353,189.5,1069,10,599.4000000000001,1061.1299999999997,34.0,0.0,11086.833333333334,272.2450980392157,20.0,20.0,0.0,0,normal
48,145.47314667224884,28.64,15.0,152,5,96.19999999999999,120.05999999999995,50.0,0.0,11321.38,276.85333333333335,20.0,20.0,0.0,0,normal
49,148.45210062932668,52.314465408805034,19.0,294,4,163.60000000000014,257.0599999999995,53.0,0.0,11230.088050314465,267.92452830188677,20.0,20.0,0.0,0,normal
50,151.44092307824354,89.42307692307692,94.0,210,6,169.0,206.09999999999994,43.333333333333336,0.0,11199.953846153847,277.3,20.0,20.0,0.0,0,normal
51,154.47123449259792,84.34482758620689,78.0,292,6,178.2,211.56,48.333333333333336,0.0,11087.8,277.51724137931035,20.0,20.0,0.0,0,normal
52,157.48439598403522,48.69798657718121,24.0,312,5,114.60000000000014,258.6000000000006,49.666666666666664,0.0,11283.68456375839,271.53691275167785,20.0,20.0,0.0,0,normal
53,160.26493816769,261.83505154639175,66.0,1187,5,869.6000000000001,1114.9999999999993,32.333333333333336,0.0,11357.876288659794,270.5670103092784,20.0,20.0,0.0,0,normal
54,163.40595999717712,132.592,22.0,898,5,584.2000000000002,833.0400000000002,41.666666666666664,0.0,11254.528,273.624,20.0,20.0,0.0,0,normal
55,166.48888733185512,59.76056338028169,45.0,215,6,127.9,201.72000000000003,47.333333333333336,0.0,11243.464788732394,269.8943661971831,20.0,20.0,0.0,0,normal
56,169.57281691255704,79.33098591549296,63.0,293,5,186.30000000000004,291.18,47.333333333333336,0.0,11089.739436619719,277.16901408450707,20.0,20.0,0.0,0,normal
57,172.54603677462129,60.3014705882353,18.5,407,4,201.5,310.20000000000016,45.333333333333336,0.0,11243.985294117647,274.66911764705884,20.0,20.0,0.0,0,normal
58,175.55950675622836,95.87162162162163,74.0,332,6,210.3,308.18,49.333333333333336,0.0,11138.013513513513,274.80405405405406,20.0,20.0,0.0,0,normal
59,178.49875189128676,36.330827067669176,16.0,187,5,88.6,171.32000000000016,44.333333333333336,0.0,11323.842105263158,272.0451127819549,17.06766917293233,17.06766917293233,0.0,0,normal
0,181.49875189128676,222.95967741935485,180.0,967,6,427.80000000000007,918.06,82.66666666666667,0.6209677419354839,11020.536290322581,227.9798387096774,54.75,54.75,0.0,1,anomaly
1,184.03183064074315,820.6524822695036,781.0,2321,5,1350.6000000000001,2220.23,94.0,0.12411347517730496,10554.567375886525,256.71985815602835,97.36879432624113,97.36879432624113,0.0,1,anomaly
2,187.25719438785163,524.785536159601,522.0,1360,7,855.0,1297.0,133.66666666666666,0.0,11976.83042394015,271.19451371571074,100.0,100.0,0.0,1,anomaly
3,190.36847969034253,509.2651933701657,519.5,1068,9,791.2000000000003,979.78,120.66666666666667,0.0,10655.24861878453,271.292817679558,100.0,100.0,0.0,1,anomaly
4,193.26884926913084,557.3350253807107,534.0,1404,71,883.3999999999999,1191.7299999999998,131.33333333333334,0.0,11382.76649746193,278.5279187817259,100.0,100.0,0.0,1,anomaly
5,196.3651002342035,503.0569105691057,478.0,1097,15,839.2,1034.1999999999998,123.0,0.0,11176.268292682927,271.15176151761517,100.0,100.0,0.0,1,anomaly
6,199.31097032897648,516.1642512077294,493.5,1676,4,823.8999999999999,1531.4200000000003,138.0,0.0,11396.314009661835,275.78743961352654,100.0,100.0,0.0,1,anomaly
7,202.39777597201777,699.4701986754967,650.0,1699,20,1200.7,1645.9,100.66666666666667,0.0,10700.218543046358,281.5496688741722,100.0,100.0,0.0,1,anomaly
8,205.17746601553998,799.0641025641025,880.0,1550,8,1238.9,1434.8999999999999,104.0,0.0,11541.830128205129,262.23397435897436,100.0,100.0,0.0,1,anomaly
9,208.27850640548192,733.4469453376206,666.0,1829,61,1282.0,1734.6999999999994,103.66666666666667,0.0,11292.980707395498,275.4147909967846,100.0,100.0,0.0,1,anomaly
10,211.35768365117576,701.1903114186852,704.0,1339,110,1136.0,1248.2800000000002,96.33333333333333,0.0,10629.0276816609,276.9930795847751,100.0,100.0,0.0,1,anomaly
11,214.22474585487942,526.1826697892271,480.0,1355,109,904.0,1205.0200000000002,142.33333333333334,0.0,11480.524590163934,274.76814988290397,100.0,100.0,0.0,1,anomaly
12,217.2426801787615,431.49388753056235,422.0,839,16,680.2,813.0,136.33333333333334,0.0,11240.212713936431,273.0440097799511,100.0,100.0,0.0,1,anomaly
13,219.96674184362027,881.8503401360545,779.5,2414,7,1657.6999999999998,2232.0499999999997,98.0,0.0,10999.969387755102,275.9353741496599,100.0,100.0,0.0,1,anomaly
14,223.3234149630578,528.3014084507042,548.0,1104,6,875.0000000000002,1026.5199999999998,118.33333333333333,0.0,11465.298591549295,267.1605633802817,100.0,100.0,0.0,1,anomaly
15,226.23990752743572,435.03864734299515,413.0,1111,25,731.5,965.44,138.0,0.0,11115.30917874396,274.9927536231884,100.0,100.0,0.0,1,anomaly
16,229.23050380748526,331.9652928416486,336.0,869,7,520.0,706.1999999999991,153.66666666666666,0.0,11302.462039045553,276.62472885032537,100.0,100.0,0.0,1,anomaly
17,232.01525639044146,878.1926345609065,595.0,2910,50,2008.8,2616.960000000001,117.66666666666667,0.0,11022.71671388102,271.5240793201133,100.0,100.0,0.0,1,anomaly
18,235.65699944913695,1523.4641509433961,675.0,4749,5,4164.6,4585.240000000001,88.33333333333333,0.0,11357.184905660377,276.1358490566038,100.0,100.0,0.0,1,anomaly
19,237.09939764389878,3467.5522388059703,4030.0,4310,13,4203.6,4267.1,22.333333333333332,0.0,11013.462686567163,275.6865671641791,100.0,100.0,0.0,1,anomaly
20,241.67993439981396,563.836820083682,603.0,1258,13,917.6,1091.5000000000005,79.66666666666667,0.34309623430962344,11424.393305439331,263.98744769874475,100.0,100.0,0.0,1,anomaly
21,244.23944206528802,497.12068965517244,447.0,1162,42,863.5,1078.8,135.33333333333334,0.1477832512315271,10777.06157635468,277.0960591133005,100.0,100.0,0.0,1,anomaly
22,247.17976654713505,408.73441108545035,368.0,978,12,681.6,880.08,144.33333333333334,0.0,11464.581986143186,277.13394919168593,100.0,100.0,0.0,1,anomaly
23,250.31529389118293,429.13390928725704,394.0,1063,20,690.8,1019.8799999999999,154.33333333333334,0.0,11332.939524838013,270.09071274298054,100.0,100.0,0.0,1,anomaly
24,253.29428251679212,538.7796143250689,525.0,1087,42,851.4000000000001,1007.9199999999998,121.0,0.0,10943.661157024793,271.2396694214876,100.0,100.0,0.0,1,anomaly
25,256.2003630301694,577.5297029702971,442.5,1968,111,1175.7,1814.7299999999998,134.66666666666666,0.0,11503.339108910892,276.5272277227723,100.0,100.0,0.0,1,anomaly
26,259.4149637868398,408.32,432.0,903,5,643.0,797.6399999999999,125.0,0.0,11003.304,269.0586666666667,100.0,100.0,0.0,1,anomaly
27,262.17364817879997,588.7581863979849,560.0,1731,7,960.8000000000001,1571.1600000000012,132.33333333333334,0.0,11240.869017632242,277.3702770780856,100.0,100.0,0.0,1,anomaly
28,265.3152995096781,389.412213740458,405.0,870,8,557.0,703.1199999999998,131.0,0.0,11340.56234096692,273.2824427480916,100.0,100.0,0.0,1,anomaly
29,268.2213307885752,385.6689189189189,346.5,978,14,665.7,837.6899999999998,148.0,0.0,10997.81081081081,273.9932432432432,100.0,100.0,0.0,1,anomaly
30,271.2390529422995,392.3086956521739,377.5,777,26,608.0,762.4599999999998,153.33333333333334,0.0,11512.08695652174,268.2173913043478,100.0,100.0,0.0,1,anomaly
31,274.29729796613384,740.8506493506494,610.0,2209,14,1423.7,1987.4500000000005,102.66666666666667,0.0,10937.24025974026,284.2435064935065,100.0,100.0,0.0,1,anomaly
32,277.27886690104526,338.343949044586,321.0,836,11,525.0,687.3000000000002,157.0,0.0,11204.866242038217,270.79193205944796,100.0,100.0,0.0,1,anomaly
33,280.2130938266532,484.19117647058823,448.5,1417,8,862.0,1119.39,136.0,0.0,11042.720588235294,271.72549019607845,100.0,100.0,0.0,1,anomaly
34,283.29965319128894,630.7994858611826,520.0,1697,30,1174.0,1557.8000000000002,129.66666666666666,0.0,11403.719794344473,281.4241645244216,100.0,100.0,0.0,1,anomaly
35,286.4528430973245,382.8708010335917,358.0,1297,15,605.2,1129.4999999999982,129.0,0.0,11221.05684754522,266.4987080103359,100.0,100.0,0.0,1,anomaly
36,289.21973574620506,471.7192575406032,437.0,2130,5,781.0,1989.4999999999986,143.66666666666666,0.0,11310.69837587007,276.30858468677496,100.0,100.0,0.0,1,anomaly
37,292.38114062658235,811.7104247104247,649.0,2138,11,1615.2,1983.379999999999,86.33333333333333,0.0,10641.915057915057,268.7799227799228,100.0,100.0,0.0,1,anomaly
38,295.24713348572135,430.09090909090907,434.0,980,54,669.0,843.0,150.33333333333334,0.0,11545.91352549889,278.9157427937916,100.0,100.0,0.0,1,anomaly
39,298.3698583839943,419.8785046728972,370.0,1328,25,714.0,1175.9500000000003,142.66666666666666,0.0,10823.864485981308,268.10046728971963,100.0,100.0,0.0,1,anomaly
40,301.2031832188561,724.3136094674556,625.0,1449,198,1227.5,1389.63,112.66666666666667,0.15680473372781065,11540.529585798817,271.10059171597635,100.0,100.0,0.0,1,anomaly
41,303.8961488963531,1747.0497512437812,1639.0,3275,316,2947.0,3238.0,67.0,0.5124378109452736,11237.02487562189,290.6318407960199,100.0,100.0,0.0,1,anomaly
42,307.53399324317934,1276.5708812260536,1211.0,3101,134,2268.0,2672.599999999997,87.0,0.10727969348659004,11266.026819923372,259.62835249042143,100.0,100.0,0.0,1,anomaly
43,310.5707278896025,1125.240506329114,1157.0,2218,9,1828.6000000000001,2099.03,52.666666666666664,0.0,11773.82911392405,267.22151898734177,100.0,100.0,0.0,1,anomaly
44,313.41374721403645,449.06052631578945,419.0,1083,13,779.5000000000001,989.0999999999998,126.66666666666667,0.0,11124.942105263159,279.2842105263158,100.0,100.0,0.0,1,anomaly
45,316.32620793462854,571.1361502347418,478.0,1744,8,1063.5,1413.5,142.0,0.0,11033.05633802817,274.61971830985914,100.0,100.0,0.0,1,anomaly
46,319.45643170038795,386.5398936170213,390.0,1600,6,575.5,794.5,125.33333333333333,0.0,11248.005319148937,274.45478723404256,100.0,100.0,0.0,1,anomaly
47,322.2756998444214,691.2756598240469,550.0,2074,6,1370.0,1893.0000000000036,113.66666666666667,0.0,11180.322580645161,269.72140762463346,100.0,100.0,0.0,1,anomaly
48,325.2285523317913,789.2666666666667,622.5,2416,7,1750.4,2080.3800000000006,120.0,0.0,11247.083333333334,276.35277777777776,100.0,100.0,0.0,1,anomaly
49,328.4935382996074,764.1572052401747,732.0,2158,82,1414.2000000000003,1945.5199999999998,76.33333333333333,0.0,10877.755458515283,270.9301310043668,100.0,100.0,0.0,1,anomaly
50,331.2041412490767,480.4674698795181,483.0,1053,7,796.6000000000001,1018.8800000000001,138.33333333333334,0.0,11458.269879518073,280.80963855421686,100.0,100.0,0.0,1,anomaly
