feature,normal_mean,anomaly_mean,normal_std,anomaly_std,effect_size,var_ratio,ks_stat,ks_pval,n_normal,n_anomaly
mem_cartservice_7956c8c845_s8bw5,62042487.46666667,62432512.0,52657.88838640946,182973.03390390618,2.8969502153331,3.4747506880874077,0.8046875,5.712467563093897e-55,240,128
mem_shippingservice_5dcc4d7bd_24vkk,23145096.533333335,23220608.0,27893.40830582659,26063.955801067495,2.7973234757975436,0.9344127298929997,0.9208333333333333,1.226087480139502e-77,240,128
mem_loadgenerator_5c7cbd94ff_mwhrf,74445585.06666666,74828864.0,50545.35871270037,219365.8514172158,2.4078414324457005,4.339980109036133,0.825,2.228490311185676e-58,240,128
mem_currencyservice_8fdf6cf9d_4fqrt,57190041.6,55361312.0,1360785.4323380939,71479.14000601854,1.897913953058202,0.05252785509557042,0.6875,2.366256545537158e-38,240,128
cpu_frontend_759775d795_m5m79,0.008420604927857607,0.006611731333218419,0.0012446282488310602,0.0010505950853120665,1.57060476163938,0.8441035195037335,0.7056436026285272,7.392483758509062e-12,199,26
mem_checkoutservice_dcf4c5c7b_n6tmr,32161587.2,32280704.0,7208.843635424477,115838.72706482923,1.4514259994319043,16.068974848558817,0.515625,8.15078396953097e-21,240,128
cpu_emailservice_588bb96b8_2v4fw,0.0013731257721421722,0.001740615428516504,0.00022498905502340492,0.0003138994456042282,1.3456874833667927,1.3951765145712274,0.70625,1.0266154368848912e-40,240,128
mem_frontend_759775d795_m5m79,14153523.2,14675968.0,626357.9240550565,0.0,1.1795947546539793,0.0,0.825,2.228490311185676e-58,240,128
mem_productcatalogservice_c4cfd98fb_c8d5f,29431534.933333334,29233152.0,256042.17622349292,0.0,1.0957407056971256,0.0,0.6416666666666667,5.4731832562241534e-33,240,128
cpu_inventoryservice_59c54c8d8_msglb,0.0015366203820810975,0.01480149619124993,0.00019551484569106173,0.020256782568275806,0.9260351924602166,103.60738846544724,0.7192708333333333,2.065451830939736e-42,240,128
